сентябр,sentabr
октябр,oktabr
бюджет,budjet
цезий,seziy
цейтнот,seytnot
целлофан,sellofan
целлюлоза,sellyuloza
целсий,selsiy
цемент,sement
цензор,senzor
цензура,senzura
центер,sentner
цех,sex
цетсе,setse
цивилизация,sivilizatsiya
цикл,sikl
циликон,siklon
цилиндр,silindr
сирка,sirka
цирк,sirk
цистерна,sisterna
цитрус,sitrus
цанга,sanga
цапфа,sapfa
цедра,sedra
целлулоид,selluloid
целлюлоза,sellyuloza
ценз,senz
цент,sent
церий,seriy
цесарка,sesarka
циан,sian
цианли,sianli
цивилизация,sivilizatsiya
цигара,sigara
цинга,singa
цинк,sink
циркуль,sirkul
циркуляр,sirkulyar
цирроз,sirroz
цистерна,sisterna
цистит,sistit
цитата,sitata
цитатабозлик,sitatabozlik
цито,sito
цитрус,sitrus
циферблат,siferblat
цоколь,sokol
Сентябр,Sentabr
Октябр,Oktabr
Бюджет,Budjet
Цезий,Seziy
Цейтнот,Seytnot
Целлофан,Sellofan
Целлюлоза,Sellyuloza
Целсий,Selsiy
Цемент,Sement
Цензор,Senzor
Цензура,Senzura
Центер,Sentner
Цех,Sex
Цетсе,Setse
Цивилизация,Sivilizatsiya
Цикл,Sikl
Циликон,Siklon
Цилиндр,Silindr
Сирка,Sirka
Цирк,Sirk
Цистерна,Sisterna
Цитрус,Sitrus
Цанга,Sanga
Цапфа,Sapfa
Цедра,Sedra
Целлулоид,Selluloid
Целлюлоза,Sellyuloza
Ценз,Senz
Цент,Sent
Центнер,Sentner
Центрифуга,Sentrifuga
Церий,Seriy
Цесарка,Sesarka
Циан,Sian
Цивилизация,Sivilizatsiya
Цигара,Sigara
Цинга,Singa
Цинк,Sink
Циркуль,Sirkul
Циркуляр,Sirkulyar
Цирроз,Sirroz
Цистерна,Sisterna
Цистит,Sistit
Цитата,Sitata
Цито,Sito
Цитрус,Sitrus
Циферблат,Siferblat
Цоколь,Sokol
СЕНТЯБР,SENTABR
ОКТЯБР,OKTABR
БЮДЖЕТ,BUDJET
ЦЕЗИЙ,SEZIY
ЦЕЙТНОТ,SEYTNOT
ЦЕЛЛОФАН,SELLOFAN
ЦЕЛЛЮЛОЗА,SELLYULOZA
ЦЕЛСИЙ,SELSIY
ЦЕМЕНТ,SEMENT
ЦЕНЗОР,SENZOR
ЦЕНЗУРА,SENZURA
ЦЕНТЕР,SENTNER
ЦЕХ,SEX
ЦЕТСЕ,SETSE
ЦИВИЛИЗАЦИЯ,SIVILIZATSIYA
ЦИКЛ,SIKL
ЦИЛИНДР,SILINDR
СИРКА,SIRKA
ЦИРК,SIRK
ЦИСТЕРНА,SISTERNA
ЦИТРУС,SITRUS
ЦАНГА,SANGA
ЦАПФА,SAPFA
ЦЕДРА,SEDRA
ЦЕЛЛУЛОИД,SELLULOID
ЦЕЛЛЮЛОЗА,SELLYULOZA
ЦЕНЗ,SENZ
ЦЕНЗУРА,SENZURA
ЦЕНТ,SENT
ЦЕРИЙ,SERIY
ЦЕСАРКА,SESARKA
ЦИАН,SIAN
ЦИВИЛИЗАЦИЯ,SIVILIZATSIYA
ЦИГАРА,SIGARA
ЦИНГА,SINGA
ЦИНК,SINK
ЦИРКУЛЬ,SIRKUL
ЦИРКУЛЯР,SIRKULYAR
ЦИРРОЗ,SIRROZ
ЦИСТЕРНА,SISTERNA
ЦИСТИТ,SISTIT
ЦИТАТА,SITATA
ЦИТО,SITO
ЦИТРУС,SITRUS
ЦИФЕРБЛАТ,SIFERBLAT
ЦОКОЛЬ,SOKOL
компьютер,kompyuter
масҳаб,mashab
мўътабар,mo''tabar
мўътадил,mo''tadil
исҳоқ,ishoq
абсорбция,absorbsiya
абстракционизм,abstraksionizm
абстракционист,abstraksionist
абстракция,abstraksiya
абсцесс,abssess
автоинспекция,avtoinspeksiya
автопрцеп,avtoprsep
автостанция,avtostansiya
адсорбция,adsorbsiya
акация,akatsiya
акцент,aksent
акциз,aksiz
акционер,aksioner
акционерлик,aksionerlik
акция,aksiya
акциядорлик,aksiyadorlik
аттракцион,attraksion
аукцион,auksion
биолюминесценция,biolyuminessensiya
вакцина,vaksina
венепункция,venepunksiya
гастроль,gastrol
герц,gers
герцог,gersog
гидростанция,gidrostansiya
гидроэлектростанция,gidroelektrostansiya
дегустатция,degustatsiya
дедукция,deduksiya
дезинсекция,dezinseksiya
дезинфекция,dezinfeksiya
дезинфекцияламоқ,dezinfeksiyalamoq
дикция,diksiya
дирекция,direksiya
диспропорция,disproporsiya
дистанцион,distansion
дистанция,distansiya
дифференциал,differensial
дифференциация,differensiatsiya
дифференцияламоқ,differensiyalamoq
импотенция,impotensiya
индукцион,induksion
индукция,induksiya
инерция,inersiya
инерцияли,inersiyali
инспекция,inspeksiya
инстарция,instarsiya
инструкция,instruksiya
инсценировка,inssenirovka
интеллигенция,intelligensiya
интервенция,intervensiya
интервенциячи,intervensiyachi
инфекцион,infeksion
инфекция,infeksiya
инъекция,in'eksiya
кальций,kalsiy
канцелиярия,kanseliyariya
канцероген,kanserogen
канцлер,kansler
католцизм,katolsizm
кварц,kvars
кварцит,kvarsit
квитанция,kvitansiya
киноконцерт,kinokonsert
киносценарий,kinossenariy
коллекционер,kolleksioner
коллекция,kolleksiya
коллекцияччи,kolleksiyachchi
колонцифра,kolonsifra
коммерция,kommersiya
компетенция,kompetensiya
конвекция,konveksiya
конвенция,konvensiya
конкуренция,konkurensiya
консорциум,konsorsium
конструкция,konstruksiya
конференц-зал,konferens-zal
конференция,konferensiya
концентрат,konsentrat
концентратли,konsentratli
концентрик,konsentrik
концепция,konsepsiya
концерн,konsern
концерт,konsert
концертмейстер,konsertmeyster
концессия,konsessiya
концлагерь,konslager
корреспонденция,korrespondensiya
коррупция,korrupsiya
ланцет,lanset
лекция,leksiya
люменисценция,lyumenissensiya
мизансцена,mizanssena
опцион,opsion
пинцет,pinset
пицца,pitssa
плебисцит,plebissit
подстанция,podstansiya
порция,porsiya
потенциал,potensial
пресс-конференция,press-konferensiya
преференция,preferensiya
принцип,prinsip
принципиал,prinsipial
принципиаллик,prinsipiallik
принципли,prinsipli
принципсиз,prinsipsiz
провинциализм,provinsializm
провинция,provinsiya
проекция,proyeksiya
проекцияламоқ,proyeksiyalamoq
пропорционал,proporsional
пропорционаллик,proporsionallik
пропорция,proporsiya
протекционизм,proteksionizm
пункция,punksiya
радиостанция,radiostansiya
реакцион,reaksion
реакционер,reaksioner
реакция,reaksiya
реакциячи,reaksiyachi
редакцион,redaksion
редакция,redaksiya
редукция,reduksiya
резекция,rezeksiya
резиденция,rezidensiya
рекогносцировка,rekognossirovka
реконструкция,rekonstruksiya
реконструкцияламоқ,rekonstruksiyalamoq
репродукция,reproduksiya
рефракция,refraksiya
санкция,sanksiya
секция,seksiya
селекцион,seleksion
селекция,seleksiya
селекциячи,seleksiyachi
селекциячилик,seleksiyachilik
станция,stansiya
стронций,stronsiy
субстанция,substansiya
сценарий,ssenariy
сценарийчи,ssenariychi
сценарист,ssenarist
танца,tansa
телеинсценировка,teleinssenirovka
тенденциоз,tendensioz
тенденциозлик,tendensiozlik
тенденция,tendensiya
терцет,terset
терция,tersiya
транскрипцион,transkripsion
транскрипция,transkripsiya
транскрипцияламоқ,transkripsiyalamoq
фильм,film
фитонцид,fitonsid
фракцион,fraksion
фракциоонер,fraksiooner
фракция,fraksiya
франция,fransiya
француз,fransuz
функционал,funksional
функция,funksiya
хемосорбция,xemosorbsiya
швейцар,shveysar
штангенциркуль,shtangensirkul
экстракция,ekstraksiya
электростанция,elektrostansiya
энцефалит,ensefalit
энцефалограмма,ensefalogramma
энциклопедик,ensiklopedik
энциклопедист,ensiklopedist
энциклопедия,ensiklopediya
энциклопедиячи,ensiklopediyachi
эссенция,essensiya
юрисдикция,yurisdiksiya
юриспруденция,yurisprudensiya
бельэтаж,beletaj
эрта,erta
эътибор,e'tibor
ич-эт,ich-et
каратэ,karate
мэр,mer
эсон,eson
рэкет,reket
сутэмизувчилар,sutemizuvchilar
упа-элик,upa-elik
эҳсон,ehson
қайнэгачи,qaynegachi
асҳоб,ashob
мусҳаф,mushaf
йог,yog
йод,yod
майонез,mayonez
микрорайон,mikrorayon
майор,mayor
район,rayon
мойупа,moyupa
пойустун,poyustun
пойабзал,poyabzal
пойандоз,poyandoz
пойафзал,poyafzal
ийе,iye
конвейер,konveyer
плейер,pleyer
стайер,stayer
фойе,foye
автомагистральавтомат,avtomagistralavtomat
альбатрос,albatros
альбом,albom
альпинизм,alpinizm
альпинист,alpinist
альт,alt
альтернатив,alternativ
альтернатива,alternativa
альтиметр,altimetr
альтчи,altchi
альфа,alfa
альма-терапия,alma-terapiya
альянс,alyans
амальгама,amalgama
апельсин,apelsin
арьергард,arergard
асфальт,asfalt
асфальтламоқ,asfaltlamoq
асфальтли,asfaltli
ателье,atele
базальт,bazalt
бальзам,balzam
бальзамлаш,balzamlash
бальнеолог,balneolog
бальнеологик,balneologik
бальнеология,balneologiya
бальнеотерапия,balneoterapiya
бальнеотехника,balneotexnika
барельеф,barelef
барьер,barer
батальон,batalon
бельведер,belveder
бельгиялик,belgiyalik
бельтинг,belting
бельэтаж,beletaj
бильярд,bilyard
бинокль,binokl
биофильтр,biofiltr
болонья,bolonya
большевизм,bolshevizm
большевик,bolshevik
браконьерлик,brakonerlik
будильник,budilnik
бульвар,bulvar
бульденеж,buldenej
бульдог,buldog
бульдозер,buldozer
бульдозерчи,buldozerchi
бульон,bulon
валерьянка,valeryanka
вальвация,valvatsiya
вальс,vals
варьете,varete
ведомость,vedomost
верньер,verner
видеофильм,videofilm
виньетка,vinetka
вольт,volt
вольфрам,volfram
вульгар,vulgar
гальванизация,galvanizatsiya
гальваник,galvanik
гальванометр,galvanometr
гастроль,gastrol
гельминт,gelmint
гельминтоз,gelmintoz
гельминтология,gelmintologiya
геральдика,geraldika
гильза,gilza
гипосульфит,giposulfit
гольф,golf
горельеф,gorelef
дальтонизм,daltonizm
девальвация,devalvatsiya
дельта,delta
дельфин,delfin
дельфинарий,delfinariy
дельфинсимонлар,delfinsimonlar
диафильм,diafilm
импульс,impuls
инсульт,insult
интервью,intervyu
интерьер,interer
итальян,italyan
итальянлар,italyanlar
итальянча,italyancha
калька,kalka
калькаламоқ,kalkalamoq
калькулятор,kalkulyator
калькуляция,kalkulyatsiya
кальций,kalsiy
капельмейстер,kapelmeyster
карьер,karer
кастрюлька,kastryulka
катапульта,katapulta
кинофильм,kinofilm
кобальт,kobalt
консультант,konsultant
консультатив,konsultativ
консультация,konsultatsiya
конферансье,konferanse
коньки,konki
конькичи,konkichi
коньюнктива,konyunktiva
коньюнктивит,konyunktivit
коньюнктура,konyunktura
коньяк,konyak
кульминацион,kulminatsion
кульминация,kulminatsiya
культиватор,kultivator
культивация,kultivatsiya
культуризм,kulturizm
курьер,kurer
кьят,kyat
лосось,losos
лосьон,loson
марсельеза,marseleza
медальон,medalon
мельхиор,melxior
меньшевизм,menshevizm
меньшевик,menshevik
микроинсульт,mikroinsult
микрофильм,mikrofilm
модельер,modeler
мольберт,molbert
монокультоура,monokultoura
мульти,multi
нимпальто,nimpalto
оккультизм,okkultizm
офтальмология,oftalmologiya
павильон,pavilon
пальма,palma
пальмазор,palmazor
пальпация,palpatsiya
пальто,palto
пальтобоп,paltobop
пальтолик,paltolik
пенальти,penalti
печенье,pechene
полька,polka
почтальон,pochtalon
премьера,premera
премьер-министр,premer-ministr
пресс-папье,press-pape
пульверизатор,pulverizator
пульмонология,pulmonologiya
пульпа,pulpa
пульпит,pulpit
пульс,puls
пульт,pult
пьеса,pesa
рантье,rante
ревальвация,revalvatsiya
револьвер,revolver
резьба,rezba
резьбали,rezbali
рельеф,relef
рельс,rels
рельсли,relsli
рельссиз,relssiz
рубильник,rubilnik
сальдо,saldo
сальто,salto
сельдерей,selderey
сеньор,senor
сеньора,senora
синька,sinka
синькаламоқ,sinkalamoq
статья,statya
стелька,stelka
судья,sudya
судьялик,sudyalik
сульфат,sulfat
сульфатлар,sulfatlar
тальк,talk
телефильм,telefilm
ультиматум,ultimatum
ультра-,ultra-
ультрабинафша,ultrabinafsha
ультрамикроскоп,ultramikroskop
ультратовуш,ultratovush
ультрақисқа,ultraqisqa
умивальник,umivalnik
факультатив,fakultativ
факультет,fakultet
факультетлаларо,fakultetlalaro
фальсификатор,falsifikator
фальсификация,falsifikatsiya
фельдмаршал,feldmarshal
фельдшер,feldsher
фельетон,feleton
фельетончи,feletonchi
фестиваль,festival
физкультура,fizkultura
физкультурачи,fizkulturachi
фильм,film
фильтр,filtr
фольга,folga
фольклор,folklor
фольклорист,folklorist
фольклористика,folkloristika
фольклорчи,folklorchi
фольклоршунос,folklorshunos
фольклоршунослик,folklorshunoslik
фортепьяно,fortepyano
холодильник,xolodilnik
цельсий,selsiy
шифоньер,shifoner
шпилька,shpilka
эмульсия,emulsiya
эскадрилья,eskadrilya
юрисконсульт,yuriskonsult
Компьютер,Kompyuter
Масҳаб,Mashab
Мўътабар,Mo''tabar
Мўътадил,Mo''tadil
Исҳоқ,Ishoq
Абсорбция,Absorbsiya
Абстракционизм,Abstraksionizm
Абстракционист,Abstraksionist
Абстракция,Abstraksiya
Абсцесс,Abssess
Автоинспекция,Avtoinspeksiya
Автопрцеп,Avtoprsep
Автостанция,Avtostansiya
Адсорбция,Adsorbsiya
Акация,Akatsiya
Акцент,Aksent
Акциз,Aksiz
Акционер,Aksioner
Акционерлик,Aksionerlik
Акция,Aksiya
Акциядорлик,Aksiyadorlik
Аттракцион,Attraksion
Аукцион,Auksion
Биолюминесценция,Biolyuminessensiya
Вакцина,Vaksina
Венепункция,Venepunksiya
Гастроль-Концерт,Gastrol-Konsert
Герц,Gers
Герцог,Gersog
Гидростанция,Gidrostansiya
Гидроэлектростанция,Gidroelektrostansiya
Дегустатция,Degustatsiya
Дедукция,Deduksiya
Дезинсекция,Dezinseksiya
Дезинфекция,Dezinfeksiya
Дезинфекцияламоқ,Dezinfeksiyalamoq
Дикция,Diksiya
Дирекция,Direksiya
Диспропорция,Disproporsiya
Дистанцион,Distansion
Дистанция,Distansiya
Дифференциал,Differensial
Дифференциация,Differensiatsiya
Дифференцияламоқ,Differensiyalamoq
Импотенция,Impotensiya
Индукцион,Induksion
Индукция,Induksiya
Инерция,Inersiya
Инерцияли,Inersiyali
Инспекция,Inspeksiya
Инстарция,Instarsiya
Инструкция,Instruksiya
Инсценировка,Inssenirovka
Интеллигенция,Intelligensiya
Интервенция,Intervensiya
Интервенциячи,Intervensiyachi
Инфекцион,Infeksion
Инфекция,Infeksiya
Инъекция,In'eksiya
Кальций,Kalsiy
Канцелиярия,Kanseliyariya
Канцероген,Kanserogen
Канцлер,Kansler
Католцизм,Katolsizm
Кварц,Kvars
Кварцит,Kvarsit
Квитанция,Kvitansiya
Киноконцерт,Kinokonsert
Киносценарий,Kinossenariy
Коллекционер,Kolleksioner
Коллекция,Kolleksiya
Коллекцияччи,Kolleksiyachchi
Колонцифра,Kolonsifra
Коммерция,Kommersiya
Компетенция,Kompetensiya
Конвекция,Konveksiya
Конвенция,Konvensiya
Конкуренция,Konkurensiya
Консорциум,Konsorsium
Конструкция,Konstruksiya
Конференц-Зал,Konferens-Zal
Конференция,Konferensiya
Концентрат,Konsentrat
Концентратли,Konsentratli
Концентрик,Konsentrik
Концепция,Konsepsiya
Концерн,Konsern
Концерт,Konsert
