sentabr,сентябр
oktabr,октябр
budjet,бюджет
seziy,цезий
seytnot,цейтнот
sellofan,целлофан
sellyuloza,целлюлоза
selsiy,целсий
sement,цемент
senzor,цензор
senzura,цензура
sentner,центер
sex,цех
setse,цетсе
sivilizatsiya,цивилизация
sikl,цикл
siklon,циликон
silindr,цилиндр
sirka,сирка
sirk,цирк
sisterna,цистерна
sitrus,цитрус
sanga,цанга
sapfa,цапфа
sedra,цедра
selluloid,целлулоид
sellyuloza,целлюлоза
senz,ценз
sent,цент
seriy,церий
sesarka,цесарка
sian,циан
sianli,цианли
sivilizatsiya,цивилизация
sigara,цигара
singa,цинга
sink,цинк
sirkul,циркуль
sirkulyar,циркуляр
sirroz,цирроз
sisterna,цистерна
sistit,цистит
sitata,цитата
sitatabozlik,цитатабозлик
sito,цито
sitrus,цитрус
siferblat,циферблат
sokol,цоколь
Sentabr,Сентябр
Oktabr,Октябр
Budjet,Бюджет
Seziy,Цезий
Seytnot,Цейтнот
Sellofan,Целлофан
Sellyuloza,Целлюлоза
Selsiy,Целсий
Sement,Цемент
Senzor,Цензор
Senzura,Цензура
Sentner,Центер
Sex,Цех
Setse,Цетсе
Sivilizatsiya,Цивилизация
Sikl,Цикл
Siklon,Циликон
Silindr,Цилиндр
Sirka,Сирка
Sirk,Цирк
Sisterna,Цистерна
Sitrus,Цитрус
Sanga,Цанга
Sapfa,Цапфа
Sedra,Цедра
Selluloid,Целлулоид
Sellyuloza,Целлюлоза
Senz,Ценз
Sent,Цент
Sentner,Центнер
Sentrifuga,Центрифуга
Seriy,Церий
Sesarka,Цесарка
Sian,Циан
Sivilizatsiya,Цивилизация
Sigara,Цигара
Singa,Цинга
Sink,Цинк
Sirkul,Циркуль
Sirkulyar,Циркуляр
Sirroz,Цирроз
Sisterna,Цистерна
Sistit,Цистит
Sitata,Цитата
Sito,Цито
Sitrus,Цитрус
Siferblat,Циферблат
Sokol,Цоколь
SENTABR,СЕНТЯБР
OKTABR,ОКТЯБР
BUDJET,БЮДЖЕТ
SEZIY,ЦЕЗИЙ
SEYTNOT,ЦЕЙТНОТ
SELLOFAN,ЦЕЛЛОФАН
SELLYULOZA,ЦЕЛЛЮЛОЗА
SELSIY,ЦЕЛСИЙ
SEMENT,ЦЕМЕНТ
SENZOR,ЦЕНЗОР
SENZURA,ЦЕНЗУРА
SENTNER,ЦЕНТЕР
SEX,ЦЕХ
SETSE,ЦЕТСЕ
SIVILIZATSIYA,ЦИВИЛИЗАЦИЯ
SIKL,ЦИКЛ
SILINDR,ЦИЛИНДР
SIRKA,СИРКА
SIRK,ЦИРК
SISTERNA,ЦИСТЕРНА
SITRUS,ЦИТРУС
SANGA,ЦАНГА
SAPFA,ЦАПФА
SEDRA,ЦЕДРА
SELLULOID,ЦЕЛЛУЛОИД
SELLYULOZA,ЦЕЛЛЮЛОЗА
SENZ,ЦЕНЗ
SENZURA,ЦЕНЗУРА
SENT,ЦЕНТ
SERIY,ЦЕРИЙ
SESARKA,ЦЕСАРКА
SIAN,ЦИАН
SIVILIZATSIYA,ЦИВИЛИЗАЦИЯ
SIGARA,ЦИГАРА
SINGA,ЦИНГА
SINK,ЦИНК
SIRKUL,ЦИРКУЛЬ
SIRKULYAR,ЦИРКУЛЯР
SIRROZ,ЦИРРОЗ
SISTERNA,ЦИСТЕРНА
SISTIT,ЦИСТИТ
SITATA,ЦИТАТА
SITO,ЦИТО
SITRUS,ЦИТРУС
SIFERBLAT,ЦИФЕРБЛАТ
SOKOL,ЦОКОЛЬ
kompyuter,компьютер
mashab,масҳаб
mo''tabar,мўътабар
mo''tadil,мўътадил
ishoq,исҳоқ
absorbsiya,абсорбция
abstraksionizm,абстракционизм
abstraksionist,абстракционист
abstraksiya,абстракция
abssess,абсцесс
avtoinspeksiya,автоинспекция
avtoprsep,автопрцеп
avtostansiya,автостанция
adsorbsiya,адсорбция
akatsiya,акация
aksent,акцент
aksiz,акциз
aksioner,акционер
aksionerlik,акционерлик
aksiya,акция
aksiyadorlik,акциядорлик
attraksion,аттракцион
auksion,аукцион
biolyuminessensiya,биолюминесценция
vaksina,вакцина
venepunksiya,венепункция
gastrol,гастроль
gers,герц
gersog,герцог
gidrostansiya,гидростанция
gidroelektrostansiya,гидроэлектростанция
degustatsiya,дегустатция
deduksiya,дедукция
dezinseksiya,дезинсекция
dezinfeksiya,дезинфекция
dezinfeksiyalamoq,дезинфекцияламоқ
diksiya,дикция
direksiya,дирекция
disproporsiya,диспропорция
distansion,дистанцион
distansiya,дистанция
differensial,дифференциал
differensiatsiya,дифференциация
differensiyalamoq,дифференцияламоқ
impotensiya,импотенция
induksion,индукцион
induksiya,индукция
inersiya,инерция
inersiyali,инерцияли
inspeksiya,инспекция
instarsiya,инстарция
instruksiya,инструкция
inssenirovka,инсценировка
intelligensiya,интеллигенция
intervensiya,интервенция
intervensiyachi,интервенциячи
infeksion,инфекцион
infeksiya,инфекция
in'eksiya,инъекция
kalsiy,кальций
kanseliyariya,канцелиярия
kanserogen,канцероген
kansler,канцлер
katolsizm,католцизм
kvars,кварц
kvarsit,кварцит
kvitansiya,квитанция
kinokonsert,киноконцерт
kinossenariy,киносценарий
kolleksioner,коллекционер
kolleksiya,коллекция
kolleksiyachchi,коллекцияччи
kolonsifra,колонцифра
kommersiya,коммерция
kompetensiya,компетенция
konveksiya,конвекция
konvensiya,конвенция
konkurensiya,конкуренция
konsorsium,консорциум
konstruksiya,конструкция
konferens-zal,конференц-зал
konferensiya,конференция
konsentrat,концентрат
konsentratli,концентратли
konsentrik,концентрик
konsepsiya,концепция
konsern,концерн
konsert,концерт
konsertmeyster,концертмейстер
konsessiya,концессия
konslager,концлагерь
korrespondensiya,корреспонденция
